country,display_country,departures,net,remittances_share,continent
China,China,592460,35160,8774696581.334377,Asia
"UK, CIs & IOM",UK,396040,25630,5865595709.535946,Europe
New Zealand,New Zealand,331410,24320,4908385703.709999,Oceania
India,India,260650,57410,3860386631.881993,Asia
USA,USA,169720,3230,2513657468.4941945,Americas
"Korea, South",Korea South,169190,2340,2505807842.885534,Asia
Malaysia,Malaysia,139660,1870,2068450400.9539194,Asia
Japan,Japan,109180,850,1617022875.3841393,Asia
Indonesia,Indonesia,99540,8490,1474248552.9926472,Asia
Philippines,Philippines,76000,19440,1125606691.053257,Asia
