sacc_code,country,year,departures,display_country,arrivals,net
7103,India,2024-25,17130,India,74540,57410
6101,China,2024-25,34700,China,69860,35160
2100,"UK, CIs & IOM",2024-25,14550,UK,40180,25630
1201,New Zealand,2024-25,10730,New Zealand,35050,24320
5204,Philippines,2024-25,6120,Philippines,25560,19440
5202,Indonesia,2024-25,4850,Indonesia,13340,8490
8104,USA,2024-25,4350,USA,7580,3230
6203,"Korea, South",2024-25,6110,Korea South,8450,2340
5203,Malaysia,2024-25,4620,Malaysia,6490,1870
6201,Japan,2024-25,6500,Japan,7350,850
