state,year,departures
NSW,2004-05,54590
NSW,2005-06,56260
NSW,2006-07,53650
NSW,2007-08,59160
NSW,2008-09,61480
NSW,2009-10,66340
NSW,2010-11,68640
NSW,2011-12,62700
NSW,2012-13,64680
NSW,2013-14,66240
NSW,2014-15,67520
NSW,2015-16,67600
NSW,2016-17,70280
NSW,2017-18,78070
NSW,2018-19,88540
NSW,2019-20,99970
NSW,2020-21,67870
NSW,2021-22,63730
NSW,2022-23,50800
NSW,2023-24,62700
NSW,2024-25,72660
VIC,2004-05,28210
VIC,2005-06,29630
VIC,2006-07,30260
VIC,2007-08,33550
VIC,2008-09,35500
VIC,2009-10,41750
VIC,2010-11,45660
VIC,2011-12,42050
VIC,2012-13,45360
VIC,2013-14,49370
VIC,2014-15,50180
VIC,2015-16,51020
VIC,2016-17,52310
VIC,2017-18,58390
VIC,2018-19,67210
VIC,2019-20,79160
VIC,2020-21,72220
VIC,2021-22,49190
VIC,2022-23,37790
VIC,2023-24,47060
VIC,2024-25,56970
QLD,2004-05,25340
QLD,2005-06,27060
QLD,2006-07,27070
QLD,2007-08,32210
QLD,2008-09,31710
QLD,2009-10,37380
QLD,2010-11,37470
QLD,2011-12,35420
QLD,2012-13,38930
QLD,2013-14,43260
QLD,2014-15,44010
QLD,2015-16,43910
QLD,2016-17,40230
QLD,2017-18,44570
QLD,2018-19,46820
QLD,2019-20,48870
QLD,2020-21,30660
QLD,2021-22,25750
QLD,2022-23,25510
QLD,2023-24,32600
QLD,2024-25,38740
SA,2004-05,4550
SA,2005-06,5400
SA,2006-07,5590
SA,2007-08,6300
SA,2008-09,6260
SA,2009-10,7390
SA,2010-11,8070
SA,2011-12,7720
SA,2012-13,8110
SA,2013-14,9040
SA,2014-15,8870
SA,2015-16,8760
SA,2016-17,8490
SA,2017-18,8310
SA,2018-19,8640
SA,2019-20,10880
SA,2020-21,7630
SA,2021-22,6730
SA,2022-23,5980
SA,2023-24,6980
SA,2024-25,7610
WA,2004-05,14160
WA,2005-06,15110
WA,2006-07,15880
WA,2007-08,18320
WA,2008-09,19630
WA,2009-10,23170
WA,2010-11,22160
WA,2011-12,21030
WA,2012-13,25800
WA,2013-14,33770
WA,2014-15,31620
WA,2015-16,31840
WA,2016-17,28750
WA,2017-18,25150
WA,2018-19,24120
WA,2019-20,20950
WA,2020-21,15340
WA,2021-22,15990
WA,2022-23,14240
WA,2023-24,18450
WA,2024-25,22820
TAS,2004-05,980
TAS,2005-06,1150
TAS,2006-07,1010
TAS,2007-08,1160
TAS,2008-09,1350
TAS,2009-10,1500
TAS,2010-11,1650
TAS,2011-12,1420
TAS,2012-13,1490
TAS,2013-14,1600
TAS,2014-15,1740
TAS,2015-16,1700
TAS,2016-17,1580
TAS,2017-18,1540
TAS,2018-19,1920
TAS,2019-20,2390
TAS,2020-21,1560
TAS,2021-22,1450
TAS,2022-23,1650
TAS,2023-24,1520
TAS,2024-25,1760
NT,2004-05,2660
NT,2005-06,2560
NT,2006-07,2730
NT,2007-08,2320
NT,2008-09,2590
NT,2009-10,2770
NT,2010-11,2870
NT,2011-12,2790
NT,2012-13,2840
NT,2013-14,3750
NT,2014-15,3890
NT,2015-16,4570
NT,2016-17,4350
NT,2017-18,3520
NT,2018-19,3870
NT,2019-20,3270
NT,2020-21,1550
NT,2021-22,1430
NT,2022-23,1350
NT,2023-24,1360
NT,2024-25,1400
ACT,2004-05,2270
ACT,2005-06,2540
ACT,2006-07,2520
ACT,2007-08,2590
ACT,2008-09,2600
ACT,2009-10,3260
ACT,2010-11,3570
ACT,2011-12,3460
ACT,2012-13,3740
ACT,2013-14,4070
ACT,2014-15,3890
ACT,2015-16,3890
ACT,2016-17,4010
ACT,2017-18,4410
ACT,2018-19,5170
ACT,2019-20,5850
ACT,2020-21,4440
ACT,2021-22,3540
ACT,2022-23,2880
ACT,2023-24,3540
ACT,2024-25,4040
