display_country,continent,value
China,Asia,592460
"UK, CIs & IOM",Europe,396040
New Zealand,Oceania,331410
India,Asia,260650
USA,Americas,169720
"Korea, South",Asia,169190
Malaysia,Asia,139660
Japan,Asia,109180
Taiwan,Asia,107220
Indonesia,Asia,99540
Ireland,Europe,82890
Singapore,Asia,78980
Philippines,Asia,76000
Hong Kong,Asia,75800
France,Europe,74240
Germany,Europe,73790
Vietnam,Asia,72040
Thailand,Asia,68530
Canada,Americas,60440
Brazil,Americas,47170
South Africa,Africa,42990
Italy,Europe,42640
Saudi Arabia,Middle East,39690
Sri Lanka,Asia,36460
Pakistan,Asia,31210
Colombia,Americas,30970
Netherlands,Europe,25930
Nepal,Asia,23750
Spain,Europe,19000
Bangladesh,Asia,18830
Fiji,Oceania,18160
Iran,Middle East,18020
Sweden,Europe,17940
Chile,Americas,17660
Türkiye,Middle East,17490
Samoa,Oceania,16240
Poland,Europe,15970
PNG,Oceania,15930
Lebanon,Middle East,15720
Greece,Europe,15190
Argentina,Americas,13790
Iraq,Middle East,12200
Switzerland,Europe,12070
Russia,Europe,10440
Norway,Europe,10340
Israel,Middle East,9520
Zimbabwe,Africa,9150
Cambodia,Asia,8560
Czechia,Europe,8470
Croatia,Europe,8280
Denmark,Europe,8140
Belgium,Europe,8110
Tonga,Oceania,7790
Egypt,Africa,7680
Mauritius,Africa,7680
North Macedonia,Europe,7530
Kenya,Africa,7530
Mexico,Americas,7490
Mongolia,Asia,7120
Estonia,Europe,7040
Bosnia/Herzegov,Europe,7030
Unit Arab Emir,Middle East,6920
Peru,Americas,5950
Vanuatu,Oceania,5920
Finland,Europe,5900
Myanmar,Asia,5720
Austria,Europe,5600
Romania,Europe,5470
Portugal,Europe,5380
Hungary,Europe,5350
Ukraine,Europe,5100
Afghanistan,Asia,4780
Kuwait,Middle East,4650
Sudan,Africa,4610
Slovakia,Europe,4580
Bhutan,Asia,4560
Jordan,Middle East,4260
Serbia,Europe,4170
Cook Islands,Oceania,4130
Nigeria,Africa,3730
Oman,Middle East,3720
Somalia,Africa,3640
Laos,Asia,3590
Brunei,Asia,3390
Macau,Asia,3200
Venezuela,Americas,3170
Timor-Leste,Asia,3160
Solomon Islands,Oceania,3090
Cyprus,Europe,3040
Zambia,Africa,2990
Syria,Middle East,2660
Ethiopia,Africa,2650
Ecuador,Americas,2580
Malta,Europe,2570
Uruguay,Americas,2410
Ghana,Africa,2270
Bulgaria,Europe,2220
New Caledonia,Oceania,2050
Lithuania,Europe,2010
"Korea, North",Asia,1880
Libya,Africa,1720
Botswana,Africa,1660
Slovenia,Europe,1580
Tanzania,Africa,1490
Kazakhstan,Asia,1450
Albania,Europe,1420
Morocco,Africa,1340
El Salvador,Americas,1330
Maldives,Asia,1320
Kiribati,Oceania,1300
Bahrain,Middle East,1300
Latvia,Europe,1240
Uganda,Africa,1220
Algeria,Africa,1050
Qatar,Middle East,930
Uzbekistan,Asia,860
Seychelles,Africa,850
Malawi,Africa,780
Nauru,Oceania,740
French Poly,Oceania,740
Trinidad/Tobago,Americas,720
Mozambique,Africa,700
Jamaica,Americas,690
Belarus,Europe,660
Eritrea,Africa,640
Tokelau,Oceania,620
Sierra Leone,Africa,620
Namibia,Africa,560
Iceland,Europe,550
Costa Rica,Americas,540
Bolivia,Americas,530
Cuba,Americas,490
Moldova,Europe,480
Liberia,Africa,470
Niue,Oceania,460
"Congo, Dem Rep",Africa,460
Samoa American,Oceania,430
Armenia,Asia,430
Tunisia,Africa,410
Paraguay,Americas,390
Guatemala,Americas,390
Azerbaijan,Asia,380
Georgia,Asia,380
Reunion,Africa,380
Tuvalu,Oceania,360
South Sudan,Africa,360
Kyrgyzstan,Asia,360
"Congo, Rep",Africa,340
Montenegro,Europe,330
Puerto Rico,Americas,320
Cameroon,Africa,320
Luxembourg,Europe,300
Nicaragua,Americas,300
Dominican Rep,Americas,300
Yemen,Middle East,290
Panama,Americas,290
Cote d'Ivoire,Africa,270
Senegal,Africa,270
Guyana,Americas,260
Eswatini,Africa,260
Madagascar,Africa,250
Angola,Africa,240
Rwanda,Africa,210
Bermuda,Americas,190
Honduras,Americas,190
Burundi,Africa,190
Kosovo,Europe,180
Bahamas,Americas,170
Barbados,Americas,170
Monaco,Europe,160
Haiti,Americas,160
Gibraltar,Europe,150
Guinea,Africa,130
Tajikistan,Asia,120
Guam,Oceania,110
Lesotho,Africa,110
"Micronesia, F S",Oceania,80
Guadeloupe,Americas,80
Gambia,Africa,80
Togo,Africa,80
Suriname,Americas,70
Marshall Is,Oceania,60
Palestine,Middle East,60
Andorra,Europe,50
Martinique,Americas,50
St Vinc/Grenad,Americas,50
Curacao,Americas,50
Turkmenistan,Asia,40
Grenada,Americas,40
St Lucia,Americas,40
Wallis/Futuna,Oceania,30
Cayman Islands,Americas,30
Niger,Africa,30
Palau,Oceania,20
Faroe Islands,Europe,20
Falkland Is,Americas,20
French Guiana,Americas,20
Belize,Americas,20
Benin,Africa,20
Cabo Verde,Africa,20
Gabon,Africa,20
Djibouti,Africa,20
N Mariana Is,Oceania,10
Dominica,Americas,10
"Virgin Is, US",Americas,10
Mali,Africa,10
